id,transaction_uid,date,category,sub_category,amount,original_amount,original_currency,exchange_rate_to_eur,exchange_correction_to_eur,exchange_effective_rate_to_eur,account,account_id,account_key_snapshot,account_name_snapshot,account_due_day_snapshot,payment_method,payment_method_id,payment_method_name_snapshot,payment_channel_method_id_snapshot,payment_channel_name_snapshot,funding_account_id_snapshot,funding_account_name_snapshot,settlement_account_id_snapshot,settlement_account_name_snapshot,liability_account_id_snapshot,liability_account_name_snapshot,settlement_mode_snapshot,payment_due_date_snapshot,payment_due_day_snapshot,payment_statement_period_snapshot,payment_resolution_json,ledger_group_id,ledger_status,contact_id,contact_name,iban_snapshot,bic_swift_snapshot,bank_name_snapshot,transfer_reference,transfer_status,description,created_at
1,investment:1,2025-12-02,Deposit,,2000.0,,,,,,Fondi Comuni,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 2000.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_60c882199468568d86fb524a70108523"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2025-12-02"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_60c882199468568d86fb524a70108523,posted,,,,,,,,,2025-12-02T17:49:19
2,investment:2,2026-01-08,Deposit,,150.0,,,,,,,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_092013195356516299595fcc359e269e"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-01-08"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_092013195356516299595fcc359e269e,posted,,,,,,,,Investments,2026-06-24T20:00:30+00:00
3,investment:3,2026-01-27,Deposit,,1000.0,,,,,,Liquidita,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 1000.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_ee18de23e95a52d1a087885eda1b48d6"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-01-27"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_ee18de23e95a52d1a087885eda1b48d6,posted,,,,,,,,,2026-01-27T10:22:16
4,investment:4,2026-02-09,Deposit,,150.0,,,,,,,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_46cce83387d1565eaad9160fd77edf29"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-02-09"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_46cce83387d1565eaad9160fd77edf29,posted,,,,,,,,,2026-02-09T13:24:33
5,investment:5,2026-03-09,Deposit,,150.0,,,,,,,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_2eec2be95d7250feab0d855c21a52dd1"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-03-09"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_2eec2be95d7250feab0d855c21a52dd1,posted,,,,,,,,,2026-03-10T13:54:41
6,investment:6,2026-04-14,Deposit,,150.0,,,,,,,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_838cad607bf554c4ba85553b276de7ba"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-04-14"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_838cad607bf554c4ba85553b276de7ba,posted,,,,,,,,,2026-04-14T18:48:41
8,investment:8,2026-05-08,Deposit,,150.0,,,,,,auto,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_56c7d1d22bca50968009ec1fd24a0d9c"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-05-08"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_56c7d1d22bca50968009ec1fd24a0d9c,posted,,,,,,,,Deposit,2026-05-08T12:53:06
9,investment:9,2026-06-08,Deposit,,150.0,,,,,,auto,main_bank,main_bank,Main,,Main bank account,main_bank_transfer,Main bank account,main_bank_transfer,Main bank account,main_bank,Main,main_bank,Main,,,immediate,,,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 150.0, ""currency"": ""EUR"", ""due_date"": """", ""due_day_snapshot"": null, ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_mig_8c9e4af3d88e5e30bfe52d2a1c78002b"", ""liability_account_id"": """", ""movement_count"": 1, ""ok"": true, ""payment_channel_method_id_snapshot"": ""main_bank_transfer"", ""payment_channel_name_snapshot"": ""Main bank account"", ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-08"", ""transaction_type"": ""investment"", ""warnings"": [""legacy row backfilled by migrate_legacy_data_to_current_logic_v2""]}",lg_mig_8c9e4af3d88e5e30bfe52d2a1c78002b,posted,,,,,,,,Deposit,2026-06-08T08:43:06
