id,date,kind,person,category,amount,original_amount,original_currency,exchange_rate_to_eur,exchange_correction_to_eur,exchange_effective_rate_to_eur,account,description,created_at
1,2026-05-30,cash_collected,Dad,cash,50.0,,,,,,cash,,2026-06-08T09:50:59
2,2026-06-06,saved_expense,Dad,Shopping,120.0,,,,,,card,Claudia bathing suits,2026-06-08T09:51:37
3,2026-06-06,saved_expense,Dad,Shopping,100.0,,,,,,card,bathing suit,2026-06-08T09:52:11
4,2026-06-10,saved_expense,Dad,Clothing,900.0,,,,,,,,2026-06-11T15:20:46
