id,ledger_group_id,transaction_uid,transaction_type,transaction_id,source_kind,source_id,date,effective_date,account_id,account_name_snapshot,counterparty_account_id,counterparty_account_name_snapshot,payment_method_id,payment_method_name_snapshot,movement_kind,direction,amount,currency,signed_amount,status,is_void,voided_by_ledger_group_id,created_from_resolution_json,notes,created_at
1,lg_c1f3eba731e74236a4fed385a4113b04,expense:309,expense,309,transaction_save,309,2026-06-23,2026-06-23,main_bank,Main bank account,,,main_bank_transfer,Main bank account,expense_cash_out,out,12.50,EUR,-12.50,posted,0,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 12.5, ""currency"": ""EUR"", ""display_explanation"": ""Expense deducts € 12.50 from Main bank account immediately."", ""due_date"": """", ""due_day_snapshot"": null, ""errors"": [], ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_c1f3eba731e74236a4fed385a4113b04"", ""liability_account_id"": """", ""linked_account_id"": ""main_bank"", ""movements"": [{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 12.5, ""counterparty_account_id"": """", ""counterparty_account_name_snapshot"": """", ""direction"": ""out"", ""effective_date"": ""2026-06-23"", ""movement_kind"": ""expense_cash_out"", ""notes"": ""Expense deducts € 12.50 from Main bank account immediately."", ""signed_amount"": -12.5, ""status"": ""posted""}], ""ok"": true, ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-23"", ""transaction_type"": ""expense"", ""warnings"": []}",Expense deducts € 12.50 from Main bank account immediately.,2026-06-23T11:55:35+00:00
2,lg_a6985352e57b46b287c9f9c02706d207,expense:310,expense,310,transaction_save,310,2026-06-23,2026-06-23,main_bank,Main bank account,,,main_bank_transfer,Main bank account,expense_cash_out,out,3.00,EUR,-3.00,voided,0,void_582ef509f39a4f0b84e977219b8ef914,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 3.0, ""currency"": ""EUR"", ""display_explanation"": ""Expense deducts € 3.00 from Main bank account immediately."", ""due_date"": """", ""due_day_snapshot"": null, ""errors"": [], ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_a6985352e57b46b287c9f9c02706d207"", ""liability_account_id"": """", ""linked_account_id"": ""main_bank"", ""movements"": [{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 3.0, ""counterparty_account_id"": """", ""counterparty_account_name_snapshot"": """", ""direction"": ""out"", ""effective_date"": ""2026-06-23"", ""movement_kind"": ""expense_cash_out"", ""notes"": ""Expense deducts € 3.00 from Main bank account immediately."", ""signed_amount"": -3.0, ""status"": ""posted""}], ""ok"": true, ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-23"", ""transaction_type"": ""expense"", ""warnings"": []}",Expense deducts € 3.00 from Main bank account immediately.,2026-06-23T12:10:30+00:00
3,void_582ef509f39a4f0b84e977219b8ef914,expense:310,expense,310,transaction_save,310,2026-06-23,2026-06-23,main_bank,Main bank account,,,main_bank_transfer,Main bank account,void_expense_cash_out,void_out,3.00,EUR,3.00,voided,1,lg_a6985352e57b46b287c9f9c02706d207,"{""void_reason"": ""Transaction expense:310 deleted."", ""voids_ledger_group_id"": ""lg_a6985352e57b46b287c9f9c02706d207""}",Void reversal for lg_a6985352e57b46b287c9f9c02706d207. Transaction expense:310 deleted.,2026-06-23T12:11:49+00:00
