id,ledger_group_id,transaction_uid,transaction_type,transaction_id,source_kind,source_id,date,effective_date,account_id,account_name_snapshot,counterparty_account_id,counterparty_account_name_snapshot,payment_method_id,payment_method_name_snapshot,movement_kind,direction,amount,currency,signed_amount,status,is_void,voided_by_ledger_group_id,created_from_resolution_json,notes,created_at
1,lg_568d36e3809847e78a673866c6abb675,expense:310,expense,310,transaction_save,310,2026-06-24,2026-06-24,main_bank,Main bank account,,,main_bank_transfer,Main bank account,expense_cash_out,out,411.29,EUR,-411.29,voided,0,void_870faeec9225468cb625f45b16a81029,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 411.29, ""currency"": ""EUR"", ""display_explanation"": ""Expense deducts € 411.29 from Main bank account immediately."", ""due_date"": """", ""due_day_snapshot"": null, ""errors"": [], ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_568d36e3809847e78a673866c6abb675"", ""liability_account_id"": """", ""linked_account_id"": ""main_bank"", ""movements"": [{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 411.29, ""counterparty_account_id"": """", ""counterparty_account_name_snapshot"": """", ""direction"": ""out"", ""effective_date"": ""2026-06-24"", ""movement_kind"": ""expense_cash_out"", ""notes"": ""Expense deducts € 411.29 from Main bank account immediately."", ""signed_amount"": -411.29, ""status"": ""posted""}], ""ok"": true, ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-24"", ""transaction_type"": ""expense"", ""warnings"": []}",Expense deducts € 411.29 from Main bank account immediately.,2026-06-23T22:08:16+00:00
2,lg_514f89e455d34a39a5ad3294d066d32f,expense:311,expense,311,transaction_save,311,2026-06-24,2026-06-24,main_bank,Main bank account,,,main_bank_transfer,Main bank account,expense_cash_out,out,149.99,EUR,-149.99,posted,0,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 149.99, ""currency"": ""EUR"", ""display_explanation"": ""Expense deducts € 149.99 from Main bank account immediately."", ""due_date"": """", ""due_day_snapshot"": null, ""errors"": [], ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_514f89e455d34a39a5ad3294d066d32f"", ""liability_account_id"": """", ""linked_account_id"": ""main_bank"", ""movements"": [{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main bank account"", ""amount"": 149.99, ""counterparty_account_id"": """", ""counterparty_account_name_snapshot"": """", ""direction"": ""out"", ""effective_date"": ""2026-06-24"", ""movement_kind"": ""expense_cash_out"", ""notes"": ""Expense deducts € 149.99 from Main bank account immediately."", ""signed_amount"": -149.99, ""status"": ""posted""}], ""ok"": true, ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-24"", ""transaction_type"": ""expense"", ""warnings"": []}",Expense deducts € 149.99 from Main bank account immediately.,2026-06-24T15:42:45+00:00
3,lg_48b12fb9eed04b1e8589557dd472cc79,expense:312,expense,312,transaction_save,312,2026-06-23,2026-06-23,main_bank,Main,,,main_bank_transfer,Main bank account,expense_cash_out,out,411.29,EUR,-411.29,posted,0,,"{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 411.29, ""currency"": ""EUR"", ""display_explanation"": ""Expense deducts € 411.29 from Main immediately."", ""due_date"": """", ""due_day_snapshot"": null, ""errors"": [], ""funding_account_id"": ""main_bank"", ""ledger_group_id"": ""lg_48b12fb9eed04b1e8589557dd472cc79"", ""liability_account_id"": """", ""linked_account_id"": ""main_bank"", ""movements"": [{""account_id"": ""main_bank"", ""account_name_snapshot"": ""Main"", ""amount"": 411.29, ""counterparty_account_id"": """", ""counterparty_account_name_snapshot"": """", ""direction"": ""out"", ""effective_date"": ""2026-06-23"", ""movement_kind"": ""expense_cash_out"", ""notes"": ""Expense deducts € 411.29 from Main immediately."", ""signed_amount"": -411.29, ""status"": ""posted""}], ""ok"": true, ""payment_method_id"": ""main_bank_transfer"", ""payment_method_name_snapshot"": ""Main bank account"", ""settlement_account_id"": ""main_bank"", ""settlement_mode"": ""immediate"", ""statement_period"": """", ""transaction_date"": ""2026-06-23"", ""transaction_type"": ""expense"", ""warnings"": []}",Expense deducts € 411.29 from Main immediately.,2026-06-24T19:34:18+00:00
4,void_870faeec9225468cb625f45b16a81029,expense:310,expense,310,transaction_save,310,2026-06-24,2026-06-24,main_bank,Main bank account,,,main_bank_transfer,Main bank account,void_expense_cash_out,void_out,411.29,EUR,411.29,voided,1,lg_568d36e3809847e78a673866c6abb675,"{""void_reason"": ""Transaction expense:310 deleted."", ""voids_ledger_group_id"": ""lg_568d36e3809847e78a673866c6abb675""}",Void reversal for lg_568d36e3809847e78a673866c6abb675. Transaction expense:310 deleted.,2026-06-24T19:38:59+00:00
